Target UE Iperf3 Measured Throughput 1 (Kbps),Non-Target UE Iperf3 Measured Throughput 1 (Kbps),FB-AII Estimated Throughput 1 (Mbps),Tset 1 (Mbps),jammer_gain 1,Inteference Efficiency,Target UE Iperf3 Measured Throughput 2,Non-Target UE Iperf3 Measured Throughput 2,FB-AII Estimated Throughput 2,Tset 2,jammer_gain 2,Inteference Efficiency,Target UE Iperf3 Measured Throughput 3,Non-Target UE Iperf3 Measured Throughput 3,FB-AII Estimated Throughput 3,Tset 3,jammer_gain 3,Inteference Efficiency,Target UE Iperf3 Measured Throughput 1 (Kbps),Non-Target UE Iperf3 Measured Throughput 1 (Kbps),FB-AII Estimated Throughput 1 (Mbps),Tset 1 (Mbps),jammer_gain 1,Inteference Efficiency,Target UE Iperf3 Measured Throughput 2,Non-Target UE Iperf3 Measured Throughput 2,FB-AII Estimated Throughput 2,Tset 2,jammer_gain 2,Inteference Efficiency,Target UE Iperf3 Measured Throughput 3,Non-Target UE Iperf3 Measured Throughput 3,FB-AII Estimated Throughput 3,Tset 3,jammer_gain 3,Inteference Efficiency
104,499,,,,,505,490,77.779696,84.009834,17,0.9662489684,213,484,,,,,500,502,,,,,498,499,112.067764,115.628432,7,0.1152000164,511,509,56.714716,59.224707,2,0.01942906005
81.1,491,,,,,501,509,91.666807,84.009834,17.5,0.5312933273,202,511,,,,,489,501,,,,,505,499,121.905433,115.628432,7.5,0.09009207867,499,499,56.982885,59.224707,2.5,0.02146215916
80.2,495,,,,,499,501,77.928484,84.009834,17,0.960969771,199,504,,,,,500,495,,,,,499,495,116.274009,115.628432,7,0.100275696,501,498,66.861846,59.224707,3,0.01012653533
76.2,514,,,,,487,502,94.069568,84.009834,17.5,0.435637689,207,499,,,,,510,505,,,,,496,509,106.99459,115.628432,6.5,0.1187149075,499,500,64.364009,59.224707,2.5,0.01216987459
82.4,494,,,,,519,501,,,,,209,492,,,,,502,498,,,,,505,498,116.148047,115.628432,7,0.100722626,499,506,58.196993,59.224707,2,0.01776591791
89.3,501,,,,,493,498,,,,,211,507,,,,,496,492,,,,,500,502,110.128918,115.628432,6.5,0.1088032921,502,493,,,,
98.8,499,,,,,494,501,,,,,195,502,,,,,502,506,,,,,498,498,114.156667,115.628432,7,0.1077883089,500,496,,,,
96.5,507,,,,,511,502,,,,,189,500,,,,,492,491,,,,,494,495,119.680234,115.628432,7.5,0.09895075545,501,496,,,,
90.6,499,,,,,496,494,,,,,185,490,,,,,509,514,,,,,507,506,,,,,499,512,,,,
96,497,,,,,495,502,,,,,200,509,,,,,497,494,,,,,497,496,,,,,502,484,,,,
95.9,503,,,,,507,493,,,,,201,500,,,,,503,501,,,,,503,500,,,,,482,518,,,,
119,486,,,,,497,507,,,,,193,501,,,,,497,503,,,,,500,500,,,,,516,500,,,,
127,516,,,,,499,502,,,,,191,490,,,,,503,501,,,,,490,499,,,,,501,495,,,,
127,469,,,,,502,500,,,,,208,503,,,,,497,503,,,,,510,505,,,,,501,506,,,,
123,529,,,,,499,499,,,,,189,507,,,,,500,489,,,,,499,493,,,,,500,499,,,,
119,501,,,,,471,502,,,,,198,498,,,,,501,507,,,,,493,496,,,,,497,500,,,,
126,500,,,,,531,495,,,,,205,498,,,,,489,496,,,,,502,509,,,,,500,500,,,,
96.6,489,,,,,495,486,,,,,206,505,,,,,500,506,,,,,504,487,,,,,502,502,,,,
88.7,488,,,,,503,517,,,,,213,499,,,,,509,492,,,,,493,510,,,,,499,491,,,,
87.4,522,,,,,494,485,,,,,201,498,,,,,505,492,,,,,497,499,,,,,504,493,,,,
102,490,,,,,504,514,,,,,201,480,,,,,494,515,,,,,505,505,,,,,493,510,,,,
101,509,,,,,503,499,,,,,192,508,,,,,479,500,,,,,474,492,,,,,506,502,,,,
116,487,,,,,501,497,,,,,201,510,,,,,526,496,,,,,459,482,,,,,501,503,,,,
121,513,,,,,243,500,,,,,217,502,,,,,501,504,,,,,479,527,,,,,499,496,,,,
121,498,,,,,152,505,,,,,232,490,,,,,483,501,,,,,452,489,,,,,480,498,,,,
127,496,,,,,148,500,,,,,232,497,,,,,519,493,,,,,450,510,,,,,521,504,,,,
121,501,,,,,145,500,,,,,222,514,,,,,500,508,,,,,460,494,,,,,498,502,,,,
110,494,,,,,143,495,,,,,220,501,,,,,495,499,,,,,439,502,,,,,502,496,,,,
95.5,502,,,,,147,505,,,,,228,501,,,,,504,500,,,,,434,499,,,,,492,496,,,,
91,509,,,,,147,500,,,,,228,483,,,,,492,495,,,,,448,506,,,,,507,501,,,,
91.7,498,,,,,139,501,,,,,211,517,,,,,498,507,,,,,463,494,,,,,487,506,,,,
86.8,483,,,,,142,497,,,,,238,496,,,,,511,497,,,,,476,505,,,,,514,495,,,,
91.6,518,,,,,146,502,,,,,213,486,,,,,498,499,,,,,463,500,,,,,488,502,,,,
119,491,,,,,148,496,,,,,230,500,,,,,497,501,,,,,443,494,,,,,509,503,,,,
127,508,,,,,168,506,,,,,205,511,,,,,494,491,,,,,436,494,,,,,501,500,,,,
122,502,,,,,192,499,,,,,192,505,,,,,507,499,,,,,474,512,,,,,499,502,,,,
132,489,,,,,187,495,,,,,183,495,,,,,502,505,,,,,459,500,,,,,493,487,,,,
126,505,,,,,195,484,,,,,193,505,,,,,500,502,,,,,512,499,,,,,505,513,,,,
121,506,,,,,177,522,,,,,187,499,,,,,500,503,,,,,505,500,,,,,500,498,,,,
96.5,498,,,,,188,489,,,,,186,501,,,,,502,501,,,,,475,497,,,,,501,495,,,,
96.2,498,,,,,175,510,,,,,193,500,,,,,493,501,,,,,540,504,,,,,500,503,,,,
96,502,,,,,184,502,,,,,176,499,,,,,493,489,,,,,520,489,,,,,499,492,,,,
94.6,489,,,,,186,499,,,,,185,500,,,,,505,506,,,,,476,504,,,,,500,507,,,,
92.2,514,,,,,190,498,,,,,199,501,,,,,508,499,,,,,463,509,,,,,499,498,,,,
106,478,,,,,187,502,,,,,196,498,,,,,498,495,,,,,436,499,,,,,503,508,,,,
129,497,,,,,255,500,,,,,184,503,,,,,492,511,,,,,467,486,,,,,494,494,,,,
123,522,,,,,267,500,,,,,189,499,,,,,507,484,,,,,479,513,,,,,502,501,,,,
129,490,,,,,266,502,,,,,192,499,,,,,496,516,,,,,463,501,,,,,501,494,,,,
121,510,,,,,249,494,,,,,196,502,,,,,492,499,,,,,483,502,,,,,500,507,,,,
122,503,,,,,268,486,,,,,186,484,,,,,513,500,,,,,432,496,,,,,502,504,,,,
94.5,498,,,,,268,514,,,,,179,516,,,,,497,493,,,,,462,501,,,,,501,493,,,,
