Target UE Iperf3 Measured Throughput 1 (Kbps),Non-Target UE Iperf3 Measured Throughput 1 (Kbps),FB-AII Estimated Throughput 1 (Mbps),Tset 1 (Mbps),jammer_gain 1,Inteference Efficiency,Target UE Iperf3 Measured Throughput 2,Non-Target UE Iperf3 Measured Throughput 2,FB-AII Estimated Throughput 2,Tset 2,jammer_gain 2,Inteference Efficiency,Target UE Iperf3 Measured Throughput 3,Non-Target UE Iperf3 Measured Throughput 3,FB-AII Estimated Throughput 3,Tset 3,jammer_gain 3,Inteference Efficiency,Target UE Iperf3 Measured Throughput 1 (Kbps),Non-Target UE Iperf3 Measured Throughput 1 (Kbps),FB-AII Estimated Throughput 1 (Mbps),Tset 1 (Mbps),jammer_gain 1,Inteference Efficiency,Target UE Iperf3 Measured Throughput 2,Non-Target UE Iperf3 Measured Throughput 2,FB-AII Estimated Throughput 2,Tset 2,jammer_gain 2,Inteference Efficiency,Target UE Iperf3 Measured Throughput 3,Non-Target UE Iperf3 Measured Throughput 3,FB-AII Estimated Throughput 3,Tset 3,jammer_gain 3,Inteference Efficiency
506,494,58.920929,29.460465,31.5,,471,498,65.542109,32.771054,31.5,,493,506,59.800414,29.900207,31.5,,507,502,117.605878,58.802939,31.5,,500,496,73.210599,36.6053,31.5,,510,503,94.148456,47.074228,31.5,
407,511,71.970507,35.985254,31.5,,386,495,41.7605,20.88025,31.5,,472,499,74.382433,37.191217,31.5,,490,506,147.582305,73.791152,31.5,,486,503,88.550936,44.275468,31.5,,491,498,118.434977,59.217488,31.5,
481,503,69.611847,34.805923,31.5,,189,492,45.509935,22.754967,31.5,,401,490,81.082807,40.541404,31.5,,512,499,153.100257,76.550129,31.5,,512,503,87.522096,43.761048,31.5,,509,494,122.202322,61.101161,31.5,
608,498,68.70504,34.35252,31.5,,189,515,40.745727,20.372864,31.5,,592,488,75.190495,37.595248,31.5,,498,500,152.774399,76.3872,31.5,,500,485,84.212391,42.106196,31.5,,494,496,118.240365,59.120183,31.5,
501,500,19.105887,34.35252,9.5,0.3129494987,177,501,25.919603,20.372864,9.5,0.09354651828,530,524,19.29279,37.595248,9.5,0.3526906751,499,500,124.923307,76.3872,9.5,0.1757285105,503,510,109.544542,42.106196,9.5,-0.1598350672,504,510,88.801971,59.120183,9.5,0.185743709
508,501,27.040703,34.35252,10,0.2949609174,192,497,22.957362,20.372864,9,0.1000313275,511,490,19.493332,37.595248,10,0.3943057175,504,495,125.410334,76.3872,9,0.1538794457,498,492,110.940917,42.106196,9,-0.1503055473,500,491,83.008599,59.120183,9,0.1981227798
501,493,29.450787,34.35252,10.5,0.3118076149,177,496,21.96684,20.372864,8.5,0.09411738426,501,503,22.222399,37.595248,10.5,0.4207405419,501,507,127.366716,76.3872,8.5,0.1273400636,501,502,106.415719,42.106196,8.5,-0.1112802454,504,512,76.293133,59.120183,8.5,0.2102341716
494,506,33.596916,34.35252,11,0.3129014845,179,504,20.010045,20.372864,8,0.09262288921,495,505,33.433647,37.595248,11,0.3721582995,496,497,119.446762,76.3872,8,0.1488690861,500,504,102.863269,42.106196,8,-0.08331041182,496,492,72.84227,59.120183,8,0.2027858415
503,500,35.918407,34.35252,11.5,0.32786633,169,504,22.552573,20.372864,8.5,0.09118176524,499,500,33.738454,37.595248,11.5,0.41452041,503,491,116.467492,76.3872,7.5,0.1445404002,499,501,99.040727,42.106196,7.5,-0.05903266889,504,483,74.126999,59.120183,7.5,0.1756184732
504,493,31.420453,34.35252,11,0.3322992314,178,495,21.565781,20.372864,8,0.08567367177,496,499,38.038209,37.595248,12,0.4168555051,499,509,107.809534,76.3872,7,0.1595413615,500,496,98.934418,42.106196,7,-0.05223572296,499,518,65.581524,59.120183,7,0.1868406185
494,503,39.692544,34.35252,11.5,0.29012496,192,482,22.123533,20.372864,7.5,0.07413628963,492,497,37.788556,37.595248,11.5,0.37401939,502,495,106.322468,76.3872,6.5,0.1468939037,499,505,90.925245,42.106196,6.5,-0.02122790824,485,488,61.751909,59.120183,6.5,0.1786321825
500,497,31.192639,34.35252,11,0.3343296258,188,517,19.026984,20.372864,7,0.07706100814,512,505,33.32354,37.595248,11,0.3731396292,498,504,99.221746,76.3872,6,0.1509318831,500,496,70.334937,42.106196,6,0.03911197948,516,517,54.647513,59.120183,6,0.1792290086
501,505,36.842316,34.35252,11.5,0.31862724,178,504,21.875436,20.372864,7.5,0.07512398158,503,499,39.62734,37.595248,11.5,0.35563155,496,496,88.689555,76.3872,5.5,0.1609738501,499,506,83.080142,42.106196,5.5,0.0028440809,499,500,62.595106,59.120183,6.5,0.1759657594
508,500,31.722124,34.35252,11,0.3296105858,194,495,21.028548,20.372864,7,0.06995919107,503,490,33.862017,37.595248,11,0.3683404479,499,495,80.047662,76.3872,5,0.1628148835,503,503,74.186028,42.106196,5,0.02244623079,500,500,54.777391,59.120183,6,0.1788629627
497,499,,,,,198,495,16.8109,20.372864,6.5,0.07568856872,499,505,39.981734,37.595248,11.5,0.35208761,500,511,74.976359,76.3872,4.5,0.1552274974,496,501,70.732029,42.106196,4.5,0.02689685829,499,493,60.22417,59.120183,6.5,0.1834633174
505,498,,,,,175,511,,,,,489,506,,,,,505,483,77.889228,76.3872,5,0.1676470153,503,493,75.032124,42.106196,4,0.01632507978,492,508,55.363188,59.120183,6,0.1772119624
495,503,,,,,189,496,,,,,505,500,,,,,495,518,74.861467,76.3872,4.5,0.1554567371,501,498,80.711741,42.106196,3.5,0.005548156354,510,500,,,,
502,500,,,,,175,495,,,,,505,500,,,,,502,499,74.972205,76.3872,5,0.1741774163,494,499,63.20729,42.106196,3,0.02967049379,494,500,,,,
501,502,,,,,175,502,,,,,495,496,,,, ,501,496,78.443077,76.3872,5.5,0.1867118392,501,505,66.348883,42.106196,2.5,0.02248882416,501,501,,,,
499,494,,,,,164,506,,,,,502,503,,,,,500,500,72.761584,76.3872,5,0.1791263803,501,495,56.974005,42.106196,2,0.03056197176,505,494,,,,
502,505,,,,,177,498,,,,,498,504,,,,,504,505,96.360425,76.3872,5.5,0.1417054958,503,506,52.421847,42.106196,1.5,0.031790544,499,483,,,,
490,495,,,,,120,500,,,,,504,498,,,,,498,495,77.44337,76.3872,5,0.168645167,502,502,54.43956,42.106196,1,0.02653506356,491,522,,,,
498,494,,,,,96,501,,,,,498,501,,,,,503,504,75.198813,76.3872,4.5,0.1547836433,498,498,57.338377,42.106196,0.5,0.0213467881,510,490,,,,
502,487,,,,,102,489,,,,,497,488,,,,,497,500,75.963603,76.3872,5,0.1719579527,501,504,58.082668,42.106196,0,0.01849842724,498,507,,,,
509,524,,,,,98.6,504,,,,,507,509,,,,,478,491,82.494773,76.3872,5.5,0.176534439,498,496,58.409111,42.106196,0,0.0182673233,501,496,,,,
494,499,,,,,97.8,494,,,,,499,503,,,,,469,509,78.637028,76.3872,5,0.1659728996,502,504,57.845763,42.106196,0,0.01866614314,496,493,,,,
504,499,,,,,94.5,501,,,,,501,493,,,,,400,487,74.896521,76.3872,4.5,0.1553867951,499,496,,,,,496,511,,,,
499,502,,,,,81.1,507,,,,,499,500,,,,,615,513,79.2004,76.3872,5,0.1647116668,502,503,,,,,509,499,,,,
496,498,,,,,86.5,508,,,,,501,498,,,,,537,499,76.660408,76.3872,4.5,0.1518673779,499,500,,,,,501,497,,,,
504,501,,,,,84.7,494,,,,,502,502,,,,,495,501,97.403661,76.3872,4,0.0984646433,500,500,,,,,490,501,,,,
504,493,,,,,89.6,490,,,,,501,500,,,,,501,496,93.884628,76.3872,3.5,0.09333399716,502,496,,,,,507,505,,,,
495,507,,,,,83.5,515,,,,,495,499,,,,,500,503,82.393354,76.3872,3,0.09941586849,498,500,,,,,500,498,,,,
499,497,,,,,88.4,492,,,,,502,495,,,,,500,500,74.370166,76.3872,2.5,0.09870508132,501,506,,,,,502,497,,,,
501,502,,,,,77,493,,,,,494,511,,,,,494,504,83.147902,76.3872,3,0.09835004111,499,499,,,,,491,504,,,,
505,501,,,,,80.9,509,,,,,497,493,,,,,503,492,72.907921,76.3872,2.5,0.1005459387,500,499,,,,,503,494,,,,
500,499,,,,,83.1,489,,,,,504,508,,,,,485,507,84.372455,76.3872,3,0.09662031403,500,501,,,,,503,508,,,,
494,489,,,,,81.4,508,,,,,496,491,,,,,514,493,72.850173,76.3872,2.5,0.1006186391,501,499,,,,,501,496,,,,
504,512,,,,,81.9,498,,,,,509,508,,,,,501,504,82.490778,76.3872,3,0.09927825343,498,502,,,,,498,485,,,,
489,491,,,,,77.5,501,,,,,500,497,,,,,501,498,72.827222,76.3872,2.5,0.1006475327,500,486,,,,,505,509,,,,
506,506,,,,,79.3,504,,,,,496,506,,,,,507,504,,,,,501,511,,,,,498,499,,,,
501,502,,,,,82.5,487,,,,,500,500,,,,,492,489,,,,,499,499,,,,,502,512,,,,
488,499,,,,,78.9,498,,,,,506,488,,,,,451,504,,,,,502,499,,,,,497,488,,,,
509,490,,,,,66,498,,,,,499,512,,,,,442,503,,,,,489,488,,,,,505,510,,,,
506,513,,,,,82.5,515,,,,,496,500,,,,,458,498,,,,,510,514,,,,,481,495,,,,
495,497,,,,,75.6,490,,,,,503,498,,,,,450,506,,,,,500,500,,,,,500,500,,,,
447,503,,,,,87.4,504,,,,,375,503,,,,,483,500,,,,,501,494,,,,,488,506,,,,
299,493,,,,,80.9,488,,,,,255,489,,,,,488,499,,,,,499,502,,,,,522,496,,,,
209,504,,,,,80.5,509,,,,,182,503,,,,,441,503,,,,,497,499,,,,,500,494,,,,
193,499,,,,,85.7,503,,,,,187,494,,,,,421,500,,,,,504,506,,,,,503,510,,,,
199,503,,,,,77.6,496,,,,,185,511,,,,,463,500,,,,,501,494,,,,,501,501,,,,
189,498,,,,,79.9,511,,,,,189,490,,,,,451,501,,,,,496,507,,,,,496,499,,,,
199,499,,,,,81.2,490,,,,,185,506,,,,,431,497,,,,,479,491,,,,,507,495,,,,
188,492,,,,,83.2,506,,,,,195,506,,,,,413,497,,,,,448,508,,,,,477,504,,,,
208,509,,,,,78.9,503,,,,,190,490,,,,,414,505,,,,,491,497,,,,,513,502,,,,
193,500,,,,,81.1,494,,,,,193,505,,,,,434,494,,,,,494,503,,,,,510,489,,,,
205,496,,,,,72.4,506,,,,,188,480,,,,,408,503,,,,,498,490,,,,,499,511,,,,
199,500,,,,,82.4,478,,,,,180,524,,,,,399,503,,,,,577,510,,,,,496,501,,,,
216,505,,,,,79.6,517,,,,,195,498,,,,,414,501,,,,,514,501,,,,,495,496,,,,
221,496,,,,,76.8,501,,,,,211,492,,,,,427,498,,,,,502,495,,,,,505,497,,,,
222,504,,,,,80.9,496,,,,,195,505,,,,,374,501,,,,,487,504,,,,,490,507,,,,
213,496,,,,,72,506,,,,,181,505,,,,,374,500,,,,,507,492,,,,,513,478,,,,
220,486,,,,,66.2,498,,,,,196,501,,,,,359,499,,,,,506,507,,,,,494,506,,,,
220,518,,,,,63.8,499,,,,,200,491,,,,,374,500,,,,,457,495,,,,,506,514,,,,
221,501,,,,,77.2,500,,,,,180,508,,,,,413,498,,,,,539,505,,,,,497,502,,,,
236,503,,,,,67.2,500,,,,,198,496,,,,,355,502,,,,,504,495,,,,,490,496,,,,
209,489,,,,,76.9,489,,,,,185,505,,,,,399,500,,,,,471,502,,,,,515,498,,,,
209,509,,,,,80.6,474,,,,,200,496,,,,,357,503,,,,,462,496,,,,,486,507,,,,
220,500,,,,,79.1,541,,,,,197,505,,,,,427,498,,,,,465,473,,,,,494,498,,,,
229,501,,,,,82.1,499,,,,,188,499,,,,,395,492,,,,,461,529,,,,,516,495,,,,
243,500,,,,,84.2,494,,,,,189,500,,,,,362,509,,,,,478,505,,,,,485,501,,,,
244,497,,,,,77.6,508,,,,,214,495,,,,,390,503,,,,,579,500,,,,,499,505,,,,
241,505,,,,,75,498,,,,,219,505,,,,,377,498,,,,,558,499,,,,,507,500,,,,
235,498,,,,,74.3,497,,,,,207,491,,,,,373,485,,,,,522,496,,,,,504,484,,,,
231,501,,,,,77.5,503,,,,,202,509,,,,,387,511,,,,,486,501,,,,,508,516,,,,
257,500,,,,,81.6,498,,,,,202,487,,,,,350,491,,,,,516,503,,,,,496,486,,,,
220,500,,,,,72.6,494,,,,,197,513,,,,,352,512,,,,,492,487,,,,,503,512,,,,
235,501,,,,,67,510,,,,,200,492,,,,,348,496,,,,,473,515,,,,,485,496,,,,
218,494,,,,,59.9,494,,,,,208,505,,,,,353,504,,,,,476,500,,,,,515,503,,,,
235,505,,,,,53.6,499,,,,,233,499,,,,,341,498,,,,,478,497,,,,,499,495,,,,
237,496,,,,,57.9,505,,,,,250,505,,,,,321,502,,,,,492,501,,,,,473,503,,,,
260,493,,,,,57.7,499,,,,,248,500,,,,,311,499,,,,,515,501,,,,,526,499,,,,
250,512,,,,,50.4,487,,,,,258,501,,,,,331,493,,,,,518,501,,,,,499,496,,,,
271,500,,,,,58.6,506,,,,,232,498,,,,,346,508,,,,,526,501,,,,,491,504,,,,
245,497,,,,,70.7,504,,,,,255,489,,,,,339,499,,,,,520,499,,,,,475,495,,,,
273,503,,,,,68.4,497,,,,,241,513,,,,,330,497,,,,,463,499,,,,,483,513,,,,
259,501,,,,,76.9,501,,,,,258,494,,,,,362,504,,,,,470,499,,,,,555,497,,,,
277,492,,,,,78,484,,,,,252,505,,,,,354,489,,,,,473,501,,,,,500,504,,,,
272,493,,,,,,,,,,,246,501,,,,,298,500,,,,,476,501,,,,,501,499,,,,
260,512,,,,,,,,,,,240,502,,,,,342,511,,,,,463,500,,,,,486,497,,,,
264,490,,,,,,,,,,,244,483,,,,,347,488,,,,,471,497,,,,,510,497,,,,
260,508,,,,,,,,,,,259,510,,,,,349,510,,,,,484,502,,,,,491,501,,,,
268,504,,,,,,,,,,,282,506,,,,,358,501,,,,,467,494,,,,,488,497,,,,
285,489,,,,,,,,,,,248,502,,,,,299,500,,,,,457,495,,,,,517,496,,,,
282,504,,,,,,,,,,,254,499,,,,,325,494,,,,,480,508,,,,,497,512,,,,
280,505,,,,,,,,,,,285,493,,,,,307,503,,,,,442,501,,,,,501,488,,,,
301,501,,,,,,,,,,,273,501,,,,,327,497,,,,,425,499,,,,,507,510,,,,
273,499,,,,,,,,,,,283,500,,,,,311,495,,,,,415,491,,,,,489,500,,,,
284,500,,,,,,,,,,,273,500,,,,,316,512,,,,,410,510,,,,,512,500,,,,
275,500,,,,,,,,,,,276,500,,,,,340,500,,,,,419,499,,,,,482,500,,,,
269,499,,,,,,,,,,,282,500,,,,,346,496,,,,,415,489,,,,,501,497,,,,
286,497,,,,,,,,,,,291,498,,,,,346,494,,,,,410,511,,,,,518,498,,,,
284,505,,,,,,,,,,,289,505,,,,,345,509,,,,,424,498,,,,,488,492,,,,
283,500,,,,,,,,,,,289,500,,,,,290,498,,,,,470,497,,,,,508,509,,,,
258,490,,,,,,,,,,,315,496,,,,,339,501,,,,,453,505,,,,,467,505,,,,
253,510,,,,,,,,,,,296,501,,,,,406,501,,,,,451,498,,,,,508,498,,,,
246,500,,,,,,,,,,,309,507,,,,,320,500,,,,,376,503,,,,,480,490,,,,
252,498,,,,,,,,,,,306,493,,,,,303,494,,,,,385,490,,,,,488,509,,,,
255,499,,,,,,,,,,,276,499,,,,,326,505,,,,,406,510,,,,,488,495,,,,
260,493,,,,,,,,,,,319,504,,,,,328,496,,,,,415,495,,,,,503,505,,,,
261,510,,,,,,,,,,,279,504,,,,,334,503,,,,,392,507,,,,,500,490,,,,
256,493,,,,,,,,,,,266,493,,,,,341,500,,,,,407,489,,,,,469,505,,,,
249,506,,,,,,,,,,,321,499,,,,,454,495,,,,,398,510,,,,,488,505,,,,
247,496,,,,,,,,,,,285,506,,,,,400,507,,,,,392,494,,,,,489,502,,,,
246,492,,,,,,,,,,,281,501,,,,,382,489,,,,,357,505,,,,,478,496,,,,
279,509,,,,,,,,,,,270,494,,,,,373,509,,,,,423,495,,,,,462,493,,,,
257,497,,,,,,,,,,,270,506,,,,,450,502,,,,,378,506,,,,,428,508,,,,
288,506,,,,,,,,,,,308,501,,,,,347,497,,,,,357,493,,,,,442,491,,,,
296,499,,,,,,,,,,,288,499,,,,,357,501,,,,,423,505,,,,,446,513,,,,
297,498,,,,,,,,,,,286,495,,,,,304,500,,,,,345,501,,,,,418,486,,,,
299,504,,,,,,,,,,,293,504,,,,,328,494,,,,,431,500,,,,,449,513,,,,
295,494,,,,,,,,,,,301,495,,,,,340,505,,,,,333,494,,,,,443,495,,,,
303,506,,,,,,,,,,,281,505,,,,,307,493,,,,,383,504,,,,,422,503,,,,
262,499,,,,,,,,,,,298,495,,,,,324,508,,,,,361,501,,,,,417,496,,,,
270,495,,,,,,,,,,,305,504,,,,,302,499,,,,,428,490,,,,,450,503,,,,
